Parent Cell,x,y,z,Daughter Cell A,x,y,z,Daughter Cell B,x,y,z
Dppp,431.0704413375,269.5305177125,14.9749151475,Dpppp,446.3487174,271.2157985,14.41780531,Dpppa,404.4281937,276.1415768,15.12234684
Ealaa,317.06295415,249.1490537125,15.01746750625,,,,,,,,
Earaa,322.9341672625,261.8603508,14.86689327125,,,,,,,,
Eplpp,477.4897414375,250.7863692875,15.04524707125,,,,,,,,
MSaaaa,239.7663674375,248.033084975,14.8980927125,MSaaaap,234.5325783,256.5939721,15.2206473,MSaaaaa,216.4393961,251.9198682,14.96679816
MSaaap,285.858586585714,246.760897885714,14.5588204257143,MSaaapp,297.670135,250.8364963,14.79427247,MSaaapa,267.960135,250.0771765,14.84283058
MSaapa,309.80649305,239.43084695,14.530900825,MSaapap,342.6631581,243.1329686,14.41691364,MSaapaa,305.8444621,242.0725484,14.54770154
MSaapp,358.463894175,238.25528825,14.52473266,MSaappp,380.3678003,240.5282224,14.49010841,MSaappa,361.2053666,244.3636205,14.2519709
MSapaa,291.7738483875,238.4952619375,15.03987952125,MSapaap,275.2733059,238.9830446,14.91397753,MSapaaa,248.6757832,238.6793699,15.11826244
MSapap,320.9070892,236.1746555625,14.90680543375,MSapapp,323.9897706,238.0699363,15.16396495,MSapapa,292.2658742,235.9893688,15.06149186
MSappa,352.2790228375,237.5039149875,14.74392639,MSappap,350.3766958,235.907514,14.63805489,MSappaa,325.2074549,237.672586,14.802916
MSappp,381.87826005,235.5156911,14.9597869225,MSapppp,372.4339253,235.214604,15.12550614,MSapppa,339.8781895,231.8999835,15.02152923
MSpaaa,291.1192282,257.1864421,14.5887024225,MSpaaap,278.7370432,262.5159757,14.96014125,MSpaaaa,242.6230558,260.7077704,14.95391648
MSpaap,331.8053217375,252.7093203375,14.44994525625,,,,,MSpaapa,290.6779542,260.9994894,14.7323795
MSpapa,355.3575333875,247.549694675,14.43180635125,MSpapap,367.0615741,252.1530818,14.44580508,MSpapaa,332.4668597,252.4044505,14.43062224
MSpapp,402.3732035375,245.106216125,14.5338365625,MSpappp,405.062321,252.7495781,14.41443157,MSpappa,383.9332104,251.3974338,14.34974254
MSppaa,334.8434978875,262.8764708125,14.57655840625,MSppaap,294.3275064,269.1533071,14.886407,MSppaaa,259.1671301,269.7302129,14.9018442
MSppap,374.31457385,262.0592886,14.5186719575,MSppapp,334.5367458,273.5620463,15.07858401,MSppapa,308.1109183,272.673378,14.94709137
MSpppa,387.8519284625,256.4474587125,14.4828257125,MSpppap,361.4226916,268.5623118,14.66990351,MSpppaa,330.8214114,266.8876261,14.68980172
MSpppp,414.625820325,256.9632383375,14.6537292825,MSppppp,378.1478399,273.8802488,15.04143515,MSppppa,348.9259686,275.1700697,14.98945799
ABalaapaa,203.247284214286,262.895024471429,14.7966178071429,ABalaapaap,227.3731129,268.8921606,14.63111003,ABalaapaaa,201.6139022,264.9525506,14.81977187
ABalaapap,227.5126367,268.375699457143,14.7646575185714,,,,,ABalaapapp,249.8714559,274.6596987,14.73154928
ABalaappa,223.365347114286,269.337686785714,15.1536514985714,,,,,,,,
ABalaappp,246.583760657143,270.810421642857,15.2679898942857,,,,,,,,
ABalapaaa,202.573301325,250.3098058625,15.482230275,ABalapaaap,203.0772302,244.8236519,15.6341269,,,,
ABalapaap,218.4482886875,245.3479069,15.501682965,ABalapaapp,221.0264685,236.9083539,15.46490163,,,,
ABalapapa,231.3168415,252.6477704625,15.68705704375,,,,,ABalapapap,223.3053688,249.1194049,15.76987221
ABalapapp,266.4525521375,250.3583389875,15.4495095875,,,,,ABalapappa,243.1074538,242.0160682,15.61049043
ABalappaa,204.942012325,258.7692868875,15.49742025375,,,,,ABalappaap,196.3190119,258.1782474,15.60735169
ABalappap,228.366163975,263.5831401125,15.46353012375,ABalappapp,212.9576913,272.3608747,15.63108517,ABalappapa,196.3375029,268.1744398,15.47599257
ABalapppa,256.170171175,265.6557748125,15.48369956875,ABalapppap,236.8090727,268.1485681,15.88098187,ABalapppaa,213.5307424,264.7664512,15.74956041
ABalpappa,261.748501825,241.182356825,14.620240435,ABalpappap,292.2712292,240.5230265,14.02851415,ABalpappaa,266.8572495,242.0998912,14.46923502
ABalpappp,294.00697025,241.9152080625,14.44660856875,ABalpapppp,320.2683895,241.7601893,14.29521197,ABalpapppa,289.2370435,243.0512549,14.41772311
ABalppaaa,216.9500050125,236.868261825,15.25964385875,,,,,ABalppaaap,212.3237875,231.6039225,15.06004307
ABalppaap,236.4428430625,232.027458975,15.19631278625,,,,,ABalppaapp,243.5939562,224.9483348,15.00085446
ABalppapa,254.5924837125,233.8286718125,14.92245102375,ABalppapap,265.0221872,228.8378876,14.56755256,ABalppapaa,241.0974363,227.886964,14.71171128
ABalpppap,262.6855289625,234.471277525,15.3675434625,ABalpppapp,263.8802629,223.0403708,15.37460802,ABalpppapa,244.7220789,223.5517,15.17732461
ABaraaaap,224.5005156125,257.1964879625,14.91723996125,,,,,,,,
ABarapapa,297.7603646875,260.872126725,14.63695653875,,,,,,,,
ABarapapp,327.1134725125,258.7916715375,14.489224635,ABarappapp,348.1992253,269.3022956,14.43810612,ABarapappa,304.5471773,256.2111206,14.48647173
ABarappaa,295.6377349875,265.9298162,14.69827808875,,,,,ABarappaaa,290.5475653,266.2076862,14.53336834
ABarappap,328.3410838375,266.2012889375,14.54864716625,,,,,,,,
ABarapppa,299.7410894625,270.7511562,14.7246597525,ABarapppap,288.2776794,270.6113678,14.62901494,ABarapppaa,264.4860311,270.9418977,14.658701
ABarapppp,330.934013575,271.6127943375,14.639024085,ABarappppp,322.3696597,277.5172789,14.74901769,ABarappppa,297.1156321,274.4663535,14.7966663
ABarpaaaa,230.9854344375,259.770362875,15.88516008625,ABarpaaaap,235.7948639,254.9929298,16.00684543,ABarpaaaaa,214.7686601,261.1069696,16.1111579
ABarpaaap,258.3792251,261.6409993,15.8850886025,,,,,ABarpaaapa,245.4255409,262.1340548,15.86403349
ABarpaapa,285.4664336625,263.56803095,15.5161095175,,,,,,,,
ABarpaapp,331.4146965125,264.7105232625,15.36004579,,,,,,,,
ABarpapaa,255.4585618,272.6772112125,15.63729572875,ABarpapaap,259.4695726,274.6557737,16.08890471,ABarpapaaa,233.0648288,272.9131257,16.21418838
ABarpapap,287.47032165,273.290124125,15.5292309075,ABarpapaap,259.4695726,274.6557737,16.08890471,,,,
ABarpappa,308.465358325,277.0823115125,15.6393469125,,,,,,,,
ABarpappp,339.357866775,275.9043993,15.40221563375,,,,,,,,
ABarppaaa,341.558572375,254.658611,15.61128924875,,,,,,,,
ABarppaap,376.5314898625,252.22884725,15.412777815,,,,,ABarppaapp,420.7730926,240.8574922,15.82597164
ABarppapa,401.082579125,246.24693375,15.44071915375,ABarppapp,445.1155319,244.9025483,15.52236128,ABarppapa,401.0825791,246.2469338,15.44071915
ABarppapp,445.1155318625,244.9025483375,15.5223612775,,,,,,,,
ABarpppaa,359.143915375,271.5220575625,15.63986996375,ABarpppap,391.3235897,270.3303663,15.48730851,ABarpppaa,359.1439154,271.5220576,15.63986996
ABarpppap,391.3235897375,270.330366275,15.48730850875,,,,,ABarpppapp,420.947141,275.7523661,15.64305791
ABarppppa,416.18731615,273.007261675,15.44336804,ABarppppp,456.311765,270.5480223,15.57977602,ABarppppa,416.1873162,273.0072617,15.44336804
ABarppppp,456.311765025,270.54802225,15.5797760225,,,,,,,,
ABplaaaaa,231.329903925,247.763085575,15.86905085375,ABplaaaaap,254.9683412,245.5048237,16.05802622,ABplaaaaaa,228.9490933,246.0216649,16.17089487
ABplaaaap,259.910291025,250.078412,15.75911666125,,,,,,,,
ABplaaapa,284.5702009125,248.8360925875,15.7639267875,,,,,,,,
ABplaaapp,317.6957753375,247.87138655,15.503493855,,,,,,,,
ABalaaaala,0,0,0,,,,,ABalaaaala,0,0,0
ABalaaaalp,0,0,0,,,,,ABalaaaala,0,0,0
ABalaaaarl,0,0,0,,,,,ABalaaaarl,0,0,0
ABalaaaarr,0,0,0,,,,,ABalaaaarl,0,0,0
ABalaaapal,0,0,0,,,,,ABalaaapal,0,0,0
ABalaaapar,0,0,0,,,,,ABalaaapal,0,0,0
ABalaaappl,0,0,0,,,,,ABalaaappl,0,0,0
ABalaaappr,0,0,0,,,,,ABalaaappl,0,0,0
ABalaapaaa,201.613902171429,264.952550614286,14.8197718685714,,,,,,,,
ABalaapaap,227.373112942857,268.892160614286,14.6311100342857,,,,,,,,
ABalaapapp,249.871455942857,274.659698742857,14.7315492785714,,,,,,,,
ABalaappap,225.269596328571,272.6323597,14.99799177,,,,,,,,
ABalaapppa,211.043232285714,272.0702231,15.3438337742857,,,,,,,,
ABalaapppp,231.103605557143,275.039403885714,15.4651998471429,,,,,,,,
ABalapaaaa,188.9576708,247.223869975,15.27418264875,,,,,ABalapaaaa,188.9576708,247.22387,15.27418265
ABalapaaap,203.0772301875,244.8236518625,15.6341268975,,,,,,,,
ABalapaapa,203.0554224,239.908025075,15.42731863375,ABalapaapp,221.0264685,236.9083539,15.46490163,ABalapaapa,203.0554224,239.9080251,15.42731863
ABalapaapp,221.026468525,236.9083539,15.464901625,,,,,ABalapaappa,124.7777778,191.9722222,15.78888889
ABalapaappa,124.7777778,191.9722222,15.7888888866667,,,,,,,,
ABalapapap,223.30536875,249.11940485,15.76987220875,,,,,,,,
ABalapappa,243.1074538125,242.0160681625,15.6104904275,,,,,ABalapappaa,158.2085369,239.2783326,15.85836566
ABalapappaa,158.208536866667,239.27833255,15.8583656616667,,,,,,,,
ABalapappp,274.269983875,242.3573817625,15.605416905,,,,,,,,
ABalappaap,196.3190119375,258.1782474375,15.60735169,,,,,,,,
ABalappapa,196.337502925,268.174439825,15.47599257,,,,,,,,
ABalappapp,212.95769125,272.3608747125,15.63108516875,,,,,,,,
ABalapppaa,213.5307424,264.7664512,15.74956040875,,,,,,,,
ABalapppap,236.8090727375,268.1485680625,15.8809818725,,,,,,,,
ABalappppa,256.368527225,272.7973409,15.60157208,,,,,ABalappppaa,152.4097402,268.3349206,15.34593795
ABalappppaa,152.40974024,268.33492064,15.3459379516,,,,,,,,
ABalappppp,287.0524126125,273.139004,15.60608973375,ABalappppp,287.0524126,273.139004,15.60608973,ABalappppa,256.3685272,272.7973409,15.60157208
ABalpaaaaa,212.8527471875,245.8930726625,14.5935837575,ABalpaaaap,238.7198959,246.4375152,14.55283716,ABalpaaaaa,212.8527472,245.8930727,14.59358376
ABalpaaaap,238.719895925,246.4375151875,14.55283715625,,,,,,,,
ABalpaaapa,243.9557346875,242.465399725,14.61057113625,ABalpaaapp,265.482794,242.7429345,14.61010345,ABalpaaapa,243.9557347,242.4653997,14.61057114
ABalpaaapp,265.4827939625,242.74293445,14.61010345,,,,,,,,
ABalpaapaa,200.93070685,248.1684192125,14.68317312,,,,,ABalpaapaa,200.9307069,248.1684192,14.68317312
ABalpaapap,225.9461578,242.60790005,14.72249712125,ABalpaapap,225.9461578,242.6079001,14.72249712,,,,
ABalpaappa,214.9091587125,236.136320875,14.66821826875,ABalpaappp,239.923476,234.0404435,14.66292331,ABalpaappa,214.9091587,236.1363209,14.66821827
ABalpaappp,239.923475975,234.0404434875,14.662923305,,,,,,,,
ABalpapaaa,240.1537568875,236.9291573375,14.3745708975,ABalpapaap,265.1687058,237.3026143,14.28952286,ABalpapaaa,240.1537569,236.9291573,14.3745709
ABalpapaap,265.1687058125,237.3026142875,14.289522855,ABalpapaap,265.1687058,237.3026143,14.28952286,,,,
ABalpapapa,279.040683425,232.211648725,14.415073895,,,,,ABalpapapap,279.257716,200.8518519,7.757407407
ABalpapapap,279.257716033333,200.851851866667,7.75740740733333,ABalpapapp,306.1323315,231.5785932,14.33661187,ABalpapapa,279.0406834,232.2116487,14.4150739
ABalpapapp,306.1323315,231.578593225,14.336611865,,,,,,,,
ABalpappaa,266.8572495,242.0998912125,14.469235015,,,,,ABalpappaap,233.2055556,245.6092593,10.70444445
ABalpappaap,233.20555555,245.60925925,10.704444445,,,,,,,,
ABalpappap,292.2712292,240.523026528571,14.0285141485714,,,,,,,,
ABalpapppa,289.2370434875,243.05125485,14.4177231075,,,,,,,,
ABalpapppp,320.2683894625,241.7601892875,14.29521197375,,,,,,,,
ABalppaaap,212.323787525,231.603922475,15.06004306875,,,,,,,,
ABalppaapp,243.5939562375,224.9483347875,15.00085445875,,,,,,,,
ABalppapaa,241.09743625,227.886963975,14.711711275,,,,,,,,
ABalppapap,265.0221871875,228.837887625,14.5675525625,,,,,,,,
ABalppappa,276.28569075,227.04139405,14.48644950625,ABalppappp,303.680285,225.3431933,14.60046487,ABalppappa,276.2856908,227.0413941,14.48644951
ABalppappp,303.68028495,225.3431932625,14.60046487375,,,,,ABalppapppa,243.4397778,220.2955556,11.4443
ABalppapppa,243.43977776,220.29555556,11.4443,,,,,,,,
ABalpppaaa,220.9052029125,226.905042975,15.30700893,ABalpppaap,231.9203246,226.2306738,15.58593104,ABalpppaaa,220.9052029,226.905043,15.30700893
ABalpppaap,231.9203245875,226.2306738125,15.58593103625,,,,,ABalpppaaa,220.9052029,226.905043,15.30700893
ABalpppapa,244.7220788875,223.5516999875,15.17732461125,,,,,,,,
ABalpppapp,263.880262875,223.0403707625,15.37460801625,,,,,ABalpppappp,196.8008621,134.9952299,17.43405172
ABalpppappp,196.80086206,134.9952299,17.434051724,,,,,,,,
ABalppppaa,246.5925635875,232.6381989,15.29343594875,ABalppppap,266.6621466,231.2042489,15.53625372,ABalppppaa,246.5925636,232.6381989,15.29343595
ABalppppap,266.66214655,231.2042489125,15.536253715,,,,,ABalppppapa,205.5523288,201.1207851,17.60899691
ABalppppapa,205.552328783333,201.120785083333,17.6089969116667,,,,,,,,
ABalpppppa,283.703285242857,232.200038985714,15.1822972942857,ABalpppppp,312.5437453,227.1155629,15.38889913,ABalpppppa,283.7032852,232.200039,15.18229729
ABalpppppp,312.5437453125,227.115562925,15.38889913125,ABalppppppp,294.8133809,212.2663543,15.90570281,ABalppppppa,270.9822206,220.9595001,15.66831194
ABalppppppa,270.982220585714,220.959500057143,15.6683119385714,,,,,,,,
ABalppppppp,294.813380942857,212.266354257143,15.9057028114286,,,,,,,,
ABaraaaaaa,197.411485725,254.0341153,14.7668581625,ABaraaaaap,216.0538033,260.8454247,14.85744037,ABaraaaaaa,197.4114857,254.0341153,14.76685816
ABaraaaaap,216.05380325,260.84542465,14.85744037125,,,,,,,,
ABaraaaapa,207.3605037875,257.635996,14.83144361625,,,,,ABaraaaapa,207.3605038,257.635996,14.83144362
ABaraaapaa,214.2307466625,256.4923608625,14.6337905075,Abaraaapap,241.1137784,257.2859121,14.60842357,ABaraaapaa,214.2307467,256.4923609,14.63379051
ABaraaapap,241.1137783875,257.285912075,14.6084235725,,,,,,,,
ABaraaappa,234.8780345,263.7465399,14.6508790375,ABaraaappp,257.1605471,266.4827969,14.62506088,ABaraaappa,234.8780345,263.7465399,14.65087904
ABaraaappp,257.160547075,266.4827969,14.62506088375,,,,,,,,
ABaraapaaa,217.36662955,250.2506239,14.706085935,ABaraapaap,241.0799009,249.6207086,14.72507059,ABaraapaaa,217.3666296,250.2506239,14.70608594
ABaraapaap,241.079900875,249.62070855,14.72507058625,,,,,,,,
ABaraapapa,258.9834099875,246.336312825,14.62829784625,,,,,ABaraapapaa,229.1980733,247.5866798,14.59889022
ABaraapapaa,229.198073314286,247.586679757143,14.5988902185714,,,,,,,,
ABaraapapp,283.1968595875,247.9535186625,14.63484431,ABaraapapp,283.1968596,247.9535187,14.63484431,ABaraapapa,258.98341,246.3363128,14.62829785
ABaraappaa,231.930431775,259.164499975,14.77319720375,ABaraappap,257.7659061,258.2671462,14.69242816,ABaraappaa,231.9304318,259.1645,14.7731972
ABaraappap,257.7659060625,258.2671462375,14.692428155,,,,,,,,
ABaraapppa,280.0132789,258.6021795625,14.59599124,,,,,ABaraapppaa,266.228865,276.3400289,14.74761261
ABaraapppaa,266.228864971429,276.340028928571,14.7476126085714,,,,,,,,
ABaraapppp,306.4971675625,259.3030009875,14.7213627175,ABaraapppp,306.4971676,259.303001,14.72136272,ABaraapppa,280.0132789,258.6021796,14.59599124
ABarapaaaa,255.8151487375,255.3968112375,14.67581452375,ABarapaaap,275.4821419,255.4284458,14.57096545,ABarapaaaa,255.8151487,255.3968112,14.67581452
ABarapaaap,275.4821419125,255.428445825,14.57096545125,,,,,,,,
ABarapaapa,261.1912871875,256.8151815875,14.548653735,ABarapaapp,284.8762907,256.487369,14.45906311,ABarapaapa,261.1912872,256.8151816,14.54865374
ABarapaapp,284.8762906625,256.487368975,14.45906311,ABarapaapp,284.8762907,256.487369,14.45906311,,,,
ABarapapaa,289.5874098375,258.0181299375,14.22876545125,,,,,ABarapapaap,237.3333334,275.25,12.49666667
ABarapapaap,237.33333335,275.25,12.496666665,,,,,,,,
ABarapapap,314.87809035,255.064230525,14.18539919375,,,,,,,,
ABarapappa,304.54717725,256.2111205875,14.48647173,,,,,,,,
ABarapappp,334.3402244375,255.9416294875,14.32912132125,,,,,,,,
ABarappaaa,290.5475652875,266.207686225,14.53336834125,,,,,,,,
ABarappaap,315.9331185375,265.1610590125,14.4289441925,,,,,,,,
ABarappapa,319.1717925375,271.33627715,14.42925940625,,,,,ABarappapap,335.8545455,338.5860606,12.54672727
ABarappapap,335.854545466667,338.5860606,12.5467272733333,,,,,,,,
ABarappapp,348.19922525,269.302295625,14.4381061225,,,,,ABarappapa,319.1717925,271.3362772,14.42925941
ABarapppaa,264.4860311375,270.941897725,14.658701,,,,,,,,
ABarapppap,288.2776794,270.611367775,14.62901494375,,,,,,,,
ABarappppa,297.11563205,274.4663534625,14.7966663,,,,,,,,
ABarappppp,322.36965965,277.5172788875,14.7490176875,,,,,ABarapppppa,311.9090909,313.1023173,14.32370767
ABarapppppa,311.90909092,313.1023173,14.3237076654,,,,,,,,
ABarpaaaaa,214.76866005,261.1069695625,16.11115789875,,,,,,,,
ABarpaaaap,235.7948639125,254.9929298,16.00684542625,,,,,,,,
ABarpaaapa,245.425540925,262.134054775,15.86403348625,,,,,,,,
ABarpapaaa,233.064828775,272.9131256875,16.21418838,,,,,,,,
ABarpapaap,259.469572625,274.6557736625,16.08890470625,,,,,ABarpapaapp,214.018254,321.4519842,24.28996032
ABarpapaapp,214.01825395,321.45198415,24.2899603175,,,,,,,,
ABarppaapp,420.773092625,240.85749215,15.8259716425,,,,,,,,
ABarpppapp,420.947140975,275.75236605,15.64305791125,,,,,,,,
ABplaaaaaa,228.9490932625,246.021664925,16.17089487,,,,,,,,
ABplaaaaap,254.968341225,245.504823675,16.05802622125,,,,,ABplaaaaapp,221.6865497,213.7052632,23.15418129
ABplaaaaapp,221.686549725,213.70526315,23.1541812875,,,,,,,,
ABplaapaa,257.489780925,238.6757853625,15.71530842125,ABplaapaap,262.6979038,234.6737184,15.79954063,ABplaapaaa,235.6471168,236.3803366,15.94370386
ABplaapaaa,235.647116825,236.3803365625,15.94370385875,,,,,,,,
ABplaapaap,262.6979037875,234.6737183875,15.7995406275,,,,,,,,
ABplaapap,294.511576425,237.9564613625,15.74057265875,ABplaapapp,301.1146793,231.3536435,15.74561657,ABplaapapa,277.3841984,228.689588,15.74676905
ABplaapapa,277.38419835,228.689588,15.74676905125,,,,,,,,
ABplaapapp,301.114679275,231.353643525,15.74561657125,,,,,ABplaapappp,241.224359,256.4065171,14.78007479
ABplaapappp,241.224358966667,256.406517083333,14.7800747861667,,,,,,,,
ABplaappa,316.659013775,233.941984725,15.54167587,ABplaappp,353.6677632,233.1511667,15.45707218,ABplaappa,316.6590138,233.9419847,15.54167587
ABplaappp,353.6677632,233.151166675,15.45707217625,,,,,,,,
ABplapaaa,335.7859538625,241.380663025,15.58919644625,ABplapaaap,368.6219505,237.0900051,15.41546723,ABplapaaaa,344.2781827,238.776617,15.33330203
ABplapaaaa,344.2781827125,238.776617025,15.33330202875,,,,,ABplapaaaap,367.4028408,224.5596803,15.4254101
ABplapaaaap,367.40284076,224.55968028,15.425410097,,,,,,,,
ABplapaaap,368.6219505,237.0900050625,15.41546723,,,,,ABplapaaapa,370.9420001,209.3077499,15.38719449
ABplapaaapa,370.942000075,209.3077499,15.38719449,,,,,,,,
ABplapaap,371.8364479,241.063005675,15.62533911625,,,,,,,,
ABplapapa,400.077207325,240.8765580375,15.520181445,ABplapapaa,465.787269,235.6670144,15.6855346,ABplapapaa,465.787269,235.6670144,15.6855346
ABplapapaa,465.787268971429,235.667014357143,15.6855345985714,,,,,,,,
ABplapapaa,442.2370572,228.9155313,14.40354223,,,,,,,,
ABplapapp,439.083849725,240.025762,15.427726685,,,,,ABplapappp,501.2229056,238.5284407,15.18711332
ABplapappp,501.222905625,238.5284407,15.18711331625,,,,,ABplapapppp,603.258611,241.6531777,17.62824205
ABplapapppp,603.258610966667,241.653177733333,17.62824205,,,,,ABplapappppa,0,0,0
ABplapappppa,0,0,0,,,,,,,,
ABplappaa,389.88072395,233.8117564375,15.41664065375,ABplappap,424.6644011,233.5135221,15.43738585,ABplappaa,389.880724,233.8117564,15.41664065
ABplappap,424.664401075,233.513522125,15.43738584625,,,,,,,,
ABplapppa,442.4881709125,233.110129625,15.27244438,ABplapppap,472.3934237,236.773328,15.28544697,ABplapppaa,454.7286852,233.3457698,15.2900678
ABplapppaa,454.7286852125,233.345769775,15.29006780125,,,,,,,,
ABplapppap,472.3934237125,236.773328,15.28544697375,,,,,ABplapppapp,557.1606407,230.706865,15.50062293
ABplapppapp,557.160640733333,230.706865,15.5006229333333,,,,,,,,
ABplapppp,467.1919392875,234.829075475,15.2581083175,,,,,,,,
ABplpaaaa,262.4986485375,231.0286042625,15.2567156,ABplpaaaap,289.1390004,224.1723814,14.79513633,ABplpaaaaa,264.3773455,227.1979819,14.81010666
ABplpaaaaa,264.37734545,227.19798185,14.81010666375,,,,,,,,
ABplpaaaap,289.1390003875,224.1723814,14.7951363325,,,,,,,,
ABplpaaap,293.397584875,228.536391375,15.2811930875,ABplpaaapp,311.2580261,220.6286323,14.85500394,ABplpaaapa,290.3975391,221.3599106,14.90906987
ABplpaaapa,290.3975390875,221.3599106,14.90906987375,,,,,,,,
ABplpaaapp,311.258026125,220.6286323,14.85500393625,,,,,ABplpaaappa,244.25,184.7708333,12.00833333
ABplpaaappa,244.25,184.770833325,12.00833333325,,,,,,,,
ABplpaapa,291.7846338,227.97338555,15.37276942125,ABplpaapap,295.4982356,220.2636605,15.15130675,ABplpaapaa,272.1563383,223.6297125,15.01202768
ABplpaapaa,272.1563383125,223.6297124875,15.0120276825,,,,,,,,
ABplpaapap,295.49823555,220.26366045,15.15130674875,,,,,,,,
ABplpaapp,328.4129066125,227.9356930625,15.3145522025,ABplpaappp,338.6954235,218.8058972,14.99986067,ABplpaappa,318.1650527,219.8676002,15.14876062
ABplpaappa,318.165052675,219.8676002125,15.14876061875,,,,,,,,
ABplpaappp,338.69542345,218.8058972,14.999860665,,,,,ABplpaapppp,299.1326531,201.7413222,14.98670853
ABplpaapppp,299.132653057143,201.741322161429,14.9867085285714,,,,,ABplpaapppp,299.1326531,201.7413222,14.98670853
ABplpapaa,307.6262128625,230.9150447875,14.85848481875,ABplpapaap,337.2460942,227.8370882,14.40688236,ABplpapaaa,313.5575401,229.9741021,14.37072513
ABplpapaaa,313.5575400875,229.9741020625,14.37072512875,,,,,,,,
ABplpapaap,337.2460941875,227.8370881625,14.4068823575,,,,,,,,
ABplpapapa,346.0312813375,227.7703744875,14.21885284375,ABplpapapp,372.8379501,231.5842593,14.2333619,ABplpapapa,346.0312813,227.7703745,14.21885284
ABplpapapp,372.8379501,231.5842593,14.2333618975,ABplpapapp,372.8379501,231.5842593,14.2333619,,,,
ABplpappa,350.40599955,234.271313675,14.55475116875,,,,,,,,
ABplpapppa,386.2241599375,239.5111897375,14.1641993875,,,,,ABplpapppa,386.2241599,239.5111897,14.16419939
ABplppaaa,337.5583960375,228.8212329625,15.1334745025,,,,,ABplppaaaa,328.277116,228.3325004,15.02227816
ABplppaaaa,328.2771159625,228.3325004,15.02227816375,,,,,ABplppaaaap,339.8744293,134.470972,13.74520548
ABplppaaaap,339.87442925,134.47097195,13.74520548,,,,,,,,
ABplppaapa,364.7661921625,225.632378225,14.655504535,ABplppaapp,390.7558467,227.6186962,14.65098127,ABplppaapa,364.7661922,225.6323782,14.65550454
ABplppaapp,390.7558466625,227.618696225,14.65098127125,,,,,ABplppaapa,364.7661922,225.6323782,14.65550454
ABplppapaa,359.7292533375,226.0404917875,14.9552044625,,,,,ABplppapaaa,379.6267974,135.4006536,13.60140523
ABplppapaaa,379.6267974,135.4006536,13.60140523,,,,,,,,
ABplppapap,388.3099489375,224.8747697375,14.87725021375,,,,,,,,
ABplppappa,406.4267528875,227.71476405,14.926263405,ABplppappp,432.7533401,229.35489,14.88843065,ABplppappa,406.4267529,227.7147641,14.92626341
ABplppappp,432.7533401,229.3548899875,14.8884306525,,,,,,,,
ABplpppaaa,412.5169705625,229.792309025,14.838382925,ABplpppaap,440.0274051,231.5206479,14.83821212,ABplpppaaa,412.5169706,229.792309,14.83838293
ABplpppaap,440.027405125,231.5206478875,14.83821212125,,,,,ABplpppaapa,563.3648025,269.5357143,15.49079919
ABplpppaapa,563.3648025,269.5357143,15.4907991886667,,,,,,,,
ABplpppap,436.872811971429,226.195405042857,14.7654123671429,,,,,ABplpppapa,459.5442276,233.4977521,14.68701162
ABplpppapa,459.544227628571,233.497752057143,14.6870116171429,,,,,,,,
ABplppppaa,400.388250125,234.5995537125,14.6118206525,ABplppppap,426.4220577,237.3712511,14.73996205,ABplppppaa,400.3882501,234.5995537,14.61182065
ABplppppap,426.422057675,237.3712511125,14.73996204625,,,,,,,,
ABplppppp,434.6017287875,237.637005825,14.9630238575,ABplpppppp,462.4567417,245.5730815,14.74924828,ABplpppppa,438.9731154,244.2612778,14.66996961
ABplpppppa,438.973115375,244.2612778,14.66996960625,,,,,,,,
ABplpppppp,462.4567416625,245.57308145,14.74924828125,,,,,,,,
ABpraaaaa,254.6112175,276.5130474875,15.11175759625,ABpraaaaap,254.8533021,287.3463275,15.29345638,ABpraaaaaa,240.368475,284.0425356,15.09495237
ABpraaaaaa,240.3684749625,284.0425356375,15.0949523675,,,,,,,,
ABpraaaaap,254.85330205,287.346327475,15.293456375,,,,,,,,
ABpraaaap,281.3027653375,279.30655975,15.14505025875,ABpraaaapp,282.7940678,288.8636737,15.33514326,ABpraaaapa,264.1023706,284.9446098,15.17076352
ABpraaaapa,264.10237055,284.9446097875,15.1707635175,,,,,,,,
ABpraaaapp,282.7940678125,288.863673725,15.3351432575,,,,,ABpraaaappp,224.5781818,365.1454546,15.25745455
ABpraaaappp,224.5781818,365.14545455,15.257454545,,,,,,,,
ABpraaapa,273.113255775,277.8596149875,15.270191695,ABpraaapap,269.2497928,282.2089673,15.5060781,ABpraaapaa,251.0773832,278.5903542,15.41358816
ABpraaapaa,251.0773832,278.5903542,15.41358816,,,,,,,,
ABpraaapap,269.249792825,282.2089673,15.5060780975,,,,,ABpraaapapa,177.4285714,364.7619048,22.14761905
ABpraaapapa,177.4285714,364.7619048,22.14761905,,,,,,,,
ABpraaapp,310.237516325,278.1830907125,15.08115305875,ABpraaappp,313.8158523,284.415017,15.41040104,ABpraaappa,287.9507,281.8723565,15.39790846
ABpraaappa,287.9506999625,281.872356475,15.39790846,,,,,,,,
ABpraaappp,313.81585225,284.415017,15.4104010425,ABpraaapppp,307.6817268,312.6365794,16.54537582,ABpraaapppa,286.6487593,301.5414809,15.74974449
ABpraaapppa,286.648759328571,301.541480885714,15.7497444914286,,,,,,,,
ABpraaapppp,307.681726785714,312.636579414286,16.5453758214286,,,,,,,,
